sentence,label,processed_sentence,Assigned_Topic
My wife had the Lobster Bisque soup which was lukewarm.,0,wife lobster bisque soup lukewarm,10
Would come back again if I had a sushi craving while in Vegas.,1,would come back sushi craving vega,6
"The staff are great, the ambiance is great.",1,staff great ambiance great,10
He deserves 5 stars.,1,deserves star,8
I left with a stomach ache and felt sick the rest of the day.,0,left stomach ache felt sick rest day,7
They dropped more than the ball.,0,dropped ball,1
"The dining space is tiny, but elegantly decorated and comfortable.",1,dining space tiny elegantly decorated comfortable,6
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1,customize order way youd like usual eggplant green bean stir fry love,7
And the beans and rice were mediocre at best.,0,bean rice mediocre best,2
Best tacos in town by far!!,1,best taco town far,7
I took back my money and got outta there.,0,took back money got outta,6
"In an interesting part of town, this place is amazing.",1,interesting part town place amazing,2
RUDE & INCONSIDERATE MANAGEMENT.,0,rude inconsiderate management,6
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,staff friendly wait time served horrible one even say hi first minute,6
I won't be back.,0,wont back,5
They have great dinners.,1,great dinner,3
The service was outshining & I definitely recommend the Halibut.,1,service outshining definitely recommend halibut,2
The food was terrible.,0,food terrible,9
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,never ever go back told many people happened,3
I don't recommend unless your car breaks down in front of it and you are starving.,0,dont recommend unless car break front starving,2
I will come back here every time I'm in Vegas.,1,come back every time im vega,6
This place deserves one star and 90% has to do with the food.,0,place deserves one star food,8
This is a disgrace.,0,disgrace,1
Def coming back to bowl next time,1,def coming back bowl next time,2
"If you want healthy authentic or ethic food, try this place.",1,want healthy authentic ethic food try place,4
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;,1,continue come lady night andddd date night highly recommend place anyone area,4
"I have been here several times in the past, and the experience has always been great.",1,several time past experience always great,10
We walked away stuffed and happy about our first Vegas buffet experience.,1,walked away stuffed happy first vega buffet experience,7
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1,service excellent price pretty reasonable considering vega located inside crystal shopping mall aria,7
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,summarize food incredible nay transcendant nothing brings joy quite like memory pneumatic condiment dispenser,7
I'm probably one of the few people to ever go to Ians and not like it.,0,im probably one people ever go ians like,5
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1,kid pizza always hit lot great side dish option kiddos,10
Service is perfect and the family atmosphere is nice to see.,1,service perfect family atmosphere nice see,3
Cooked to perfection and the service was impeccable.,1,cooked perfection service impeccable,9
This one is simply a disappointment.,0,one simply disappointment,10
"Overall, I was very disappointed with the quality of food at Bouchon.",0,overall disappointed quality food bouchon,1
I don't have to be an accountant to know I'm getting screwed!,0,dont accountant know im getting screwed,8
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,great place eat reminds little mom pop shop san francisco bay area,10
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1,today first taste buldogis gourmet hot dog tell ever thought possible,10
Left very frustrated.,0,left frustrated,7
I'll definitely be in soon again.,1,ill definitely soon,2
Food was really good and I got full petty fast.,1,food really good got full petty fast,1
Service was fantastic.,1,service fantastic,10
TOTAL WASTE OF TIME.,0,total waste time,7
I don't know what kind it is but they have the best iced tea.,1,dont know kind best iced tea,8
"Come hungry, leave happy and stuffed!",1,come hungry leave happy stuffed,7
"For service, I give them no stars.",0,service give star,8
I can assure you that you won't be disappointed.,1,assure wont disappointed,5
I can take a little bad service but the food sucks.,0,take little bad service food suck,3
Gave up trying to eat any of the crust (teeth still sore).,0,gave trying eat crust teeth still sore,9
But now I was completely grossed out.,0,completely grossed,6
I really enjoyed eating here.,1,really enjoyed eating,2
First time going but I think I will quickly become a regular.,1,first time going think quickly become regular,7
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,server nice even though looked little overwhelmed need stayed professional friendly end,3
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1,dinner companion told meeverything fresh nice texture taste,3
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,ground right next table large smeared beensteppedinandtrackedeverywhere pile green bird poop,9
"Furthermore, you can't even find hours of operation on the website!",0,furthermore cant even find hour operation website,5
We've tried to like this place but after 10+ times I think we're done with them.,0,weve tried like place time think done,7
What a mistake that was!,0,mistake,10
No complaints!,1,complaint,8
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1,seriously good pizza im expertconnisseur topic,5
Waiter was a jerk.,0,waiter jerk,8
"Strike 2, who wants to be rushed.",0,strike want rushed,10
These are the nicest restaurant owners I've ever come across.,1,nicest restaurant owner ive ever come across,6
I never come again.,0,never come,2
We loved the biscuits!!!,1,loved biscuit,5
Service is quick and friendly.,1,service quick friendly,9
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0,ordered appetizer took minute pizza another minute,4
So absolutley fantastic.,1,absolutley fantastic,10
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0,huge awkward lb piece cow th gristle fat,8
definitely will come back here again.,1,definitely come back,2
I like Steiners because it's dark and it feels like a bar.,1,like steiner dark feel like bar,7
Wow very spicy but delicious.,1,wow spicy delicious,8
"If you're not familiar, check it out.",1,youre familiar check,5
I'll take my business dinner dollars elsewhere.,0,ill take business dinner dollar elsewhere,3
I'd love to go back.,1,id love go back,2
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1,anyway f restaurant wonderful breakfastlunch,6
Nothing special.,0,nothing special,4
Each day of the week they have a different deal and it's all so delicious!,1,day week different deal delicious,4
"Not to mention the combination of pears, almonds and bacon is a big winner!",1,mention combination pear almond bacon big winner,5
Will not be back.,0,back,1
Sauce was tasteless.,0,sauce tasteless,1
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1,food delicious spicy enough sure ask spicier prefer way,3
My ribeye steak was cooked perfectly and had great mesquite flavor.,1,ribeye steak cooked perfectly great mesquite flavor,10
I don't think we'll be going back anytime soon.,0,dont think well going back anytime soon,7
Food was so gooodd.,1,food gooodd,1
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0,far sushi connoisseur definitely tell difference good food bad food certainly bad food,1
I was so insulted.,0,insulted,6
The last 3 times I had lunch here has been bad.,0,last time lunch bad,10
The chicken wings contained the driest chicken meat I have ever eaten.,0,chicken wing contained driest chicken meat ever eaten,2
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1,food good enjoyed every mouthful enjoyable relaxed venue couple small family group etc,3
Nargile - I think you are great.,1,nargile think great,10
Best tater tots in the southwest.,1,best tater tot southwest,7
We loved the place.,1,loved place,8
Definitely not worth the $3 I paid.,0,definitely worth paid,1
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1,vanilla ice cream creamy smooth profiterole chou pastry fresh enough,6
Im in AZ all the time and now have my new spot.,1,im az time new spot,5
The manager was the worst.,0,manager worst,8
The inside is really quite nice and very clean.,1,inside really quite nice clean,6
The food was outstanding and the prices were very reasonable.,1,food outstanding price reasonable,1
I don't think I'll be running back to Carly's anytime soon for food.,0,dont think ill running back carlys anytime soon food,7
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0,due fact took minute acknowledged another minute get foodand kept forgetting thing,6
"Love the margaritas, too!",1,love margarita,8
This was my first and only Vegas buffet and it did not disappoint.,1,first vega buffet disappoint,5
"Very good, though!",1,good though,1
The one down note is the ventilation could use some upgrading.,0,one note ventilation could use upgrading,3
Great pork sandwich.,1,great pork sandwich,9
Don't waste your time here.,0,dont waste time,7
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0,total letdown would much rather go camelback flower shop cartel coffee,5
"Third, the cheese on my friend's burger was cold.",0,third cheese friend burger cold,5
We enjoy their pizza and brunch.,1,enjoy pizza brunch,9
The steaks are all well trimmed and also perfectly cooked.,1,steak well trimmed also perfectly cooked,8
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,group claimed would handled u beautifully,3
I LOVED it!,1,loved,3
We asked for the bill to leave without eating and they didn't bring that either.,0,asked bill leave without eating didnt bring either,6
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1,place jewel la vega exactly ive hoping find nearly ten year living,6
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0,seafood limited boiled shrimp crab leg crab leg definitely taste fresh,8
The selection of food was not the best.,0,selection food best,1
Delicious and I will absolutely be back!,1,delicious absolutely back,5
"This isn't a small family restaurant, this is a fine dining establishment.",1,isnt small family restaurant fine dining establishment,3
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1,toro tartare cavier extraordinary liked thinly sliced wagyu white truffle,1
I dont think I will be back for a very long time.,0,dont think back long time,7
"It was attached to a gas station, and that is rarely a good sign.",0,attached gas station rarely good sign,5
How awesome is that.,1,awesome,10
I will be back many times soon.,1,back many time soon,6
The menu had so much good stuff on it i could not decide!,1,menu much good stuff could decide,10
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0,worse humiliated worker right front mebunch horrible name calling,6
CONCLUSION: Very filling meals.,1,conclusion filling meal,4
Their daily specials are always a hit with my group.,1,daily special always hit group,8
And then tragedy struck.,0,tragedy struck,1
The pancake was also really good and pretty large at that.,1,pancake also really good pretty large,9
"This was my first crawfish experience, and it was delicious!",1,first crawfish experience delicious,10
Their monster chicken fried steak and eggs is my all time favorite.,1,monster chicken fried steak egg time favorite,10
Waitress was sweet and funny.,1,waitress sweet funny,3
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1,also taste mom multigrain pumpkin pancake pecan butter amazing fluffy delicious,8
"I'd rather eat airline food, seriously.",0,id rather eat airline food seriously,9
Cant say enough good things about this place.,1,cant say enough good thing place,8
The ambiance was incredible.,1,ambiance incredible,10
The waitress and manager are so friendly.,1,waitress manager friendly,3
I would not recommend this place.,0,would recommend place,2
Overall I wasn't very impressed with Noca.,0,overall wasnt impressed noca,2
My gyro was basically lettuce only.,0,gyro basically lettuce,4
Terrible service!,0,terrible service,9
Thoroughly disappointed!,0,thoroughly disappointed,5
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1,dont much pasta love homemade hand made pasta thin pizza,2
"Give it a try, you will be happy you did.",1,give try happy,2
By far the BEST cheesecurds we have ever had!,1,far best cheesecurds ever,7
Reasonably priced also!,1,reasonably priced also,4
Everything was perfect the night we were in.,1,everything perfect night,2
The food is very good for your typical bar food.,1,food good typical bar food,1
it was a drive to get there.,0,drive get,9
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1,first glance lovely bakery cafe nice ambiance clean friendly staff,6
"Anyway, I do not think i will go back there.",0,anyway think go back,7
"Point your finger at any item on the menu, order it and you won't be disappointed.",1,point finger item menu order wont disappointed,5
"Oh this is such a thing of beauty, this restaurant.",1,oh thing beauty restaurant,6
If you haven't gone here GO NOW!,1,havent gone go,2
"A greasy, unhealthy meal.",0,greasy unhealthy meal,5
first time there and might just be the last.,0,first time might last,10
Those burgers were amazing.,1,burger amazing,5
"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",0,similarly delivery man say word apology food minute late,10
And it was way to expensive.,0,way expensive,9
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1,sure order dessert even need pack togo tiramisu cannoli die,8
This was my first time and I can't wait until the next.,1,first time cant wait next,6
The bartender was also nice.,1,bartender also nice,3
Everything was good and tasty!,1,everything good tasty,1
This place is two thumbs up....way up.,1,place two thumb upway,10
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1,best place vega breakfast check sat sun,5
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1,love authentic mexican food want whole bunch interesting yet delicious meat choose need try place,4
Terrible management.,0,terrible management,9
An excellent new restaurant by an experienced Frenchman.,1,excellent new restaurant experienced frenchman,9
If there were zero stars I would give it zero stars.,0,zero star would give zero star,4
"Great steak, great sides, great wine, amazing desserts.",1,great steak great side great wine amazing dessert,10
Worst martini ever!,0,worst martini ever,8
The steak and the shrimp are in my opinion the best entrees at GC.,1,steak shrimp opinion best entree gc,2
I had the opportunity today to sample your amazing pizzas!,1,opportunity today sample amazing pizza,4
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0,waited thirty minute seated although vacant table folk waiting,4
The yellowtail carpaccio was melt in your mouth fresh.,1,yellowtail carpaccio melt mouth fresh,3
I won't try going back there even if it's empty.,0,wont try going back even empty,1
"No, I'm going to eat the potato that I found some strangers hair in it.",0,im going eat potato found stranger hair,8
Just spicy enough.. Perfect actually.,1,spicy enough perfect actually,7
Last night was my second time dining here and I was so happy I decided to go back!,1,last night second time dining happy decided go back,2
"not even a ""hello, we will be right with you.""",0,even hello right,9
The desserts were a bit strange.,0,dessert bit strange,8
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1,boyfriend came first time recent trip vega could pleased quality food service,1
"I really do recommend this place, you can go wrong with this donut place!",1,really recommend place go wrong donut place,2
Nice ambiance.,1,nice ambiance,6
I would recommend saving room for this!,1,would recommend saving room,6
I guess maybe we went on an off night but it was disgraceful.,0,guess maybe went night disgraceful,2
"However, my recent experience at this particular location was not so good.",0,however recent experience particular location good,1
"I know this is not like the other restaurants at all, something is very off here!",0,know like restaurant something,6
AVOID THIS ESTABLISHMENT!,0,avoid establishment,8
I think this restaurant suffers from not trying hard enough.,0,think restaurant suffers trying hard enough,7
All of the tapas dishes were delicious!,1,tapa dish delicious,4
I *heart* this place.,1,heart place,3
My salad had a bland vinegrette on the baby greens and hearts of Palm.,0,salad bland vinegrette baby green heart palm,2
After two I felt disgusting.,0,two felt disgusting,9
A good time!,1,good time,1
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,1,believe place great stop huge belly hankering sushi,8
Generous portions and great taste.,1,generous portion great taste,10
I will never go back to this place and will never ever recommended this place to anyone!,0,never go back place never ever recommended place anyone,8
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0,server went back forth several time even much helped,1
Food was delicious!,1,food delicious,1
AN HOUR... seriously?,0,hour seriously,5
I consider this theft.,0,consider theft,6
Eew... This location needs a complete overhaul.,0,eew location need complete overhaul,8
We recently witnessed her poor quality of management towards other guests as well.,0,recently witnessed poor quality management towards guest well,10
Waited and waited and waited.,0,waited waited waited,8
"He also came back to check on us regularly, excellent service.",1,also came back check u regularly excellent service,10
Our server was super nice and checked on us many times.,1,server super nice checked u many time,5
"The pizza tasted old, super chewy in not a good way.",0,pizza tasted old super chewy good way,9
I swung in to give them a try but was deeply disappointed.,0,swung give try deeply disappointed,1
Service was good and the company was better!,1,service good company better,9
The staff are also very friendly and efficient.,1,staff also friendly efficient,4
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1,service im fan quick youre served nice folk,5
Boy was that sucker dry!!.,0,boy sucker dry,3
Over rated.,0,rated,5
"If you look for authentic Thai food, go else where.",0,look authentic thai food go else,9
Their steaks are 100% recommended!,1,steak recommended,8
After I pulled up my car I waited for another 15 minutes before being acknowledged.,0,pulled car waited another minute acknowledged,4
Great food and great service in a clean and friendly setting.,1,great food great service clean friendly setting,10
"All in all, I can assure you I'll be back.",1,assure ill back,3
I hate those things as much as cheap quality black olives.,0,hate thing much cheap quality black olive,8
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1,breakfast perpared great beautiful presentation giant slice toast lightly dusted powdered sugar,1
The kids play area is NASTY!,0,kid play area nasty,10
Great place fo take out or eat in.,1,great place fo take eat,10
The waitress was friendly and happy to accomodate for vegan/veggie options.,1,waitress friendly happy accomodate veganveggie option,3
OMG I felt like I had never eaten Thai food until this dish.,1,omg felt like never eaten thai food dish,9
"It was extremely ""crumby"" and pretty tasteless.",0,extremely crumby pretty tasteless,9
It was a pale color instead of nice and char and has NO flavor.,0,pale color instead nice char flavor,5
The croutons also taste homemade which is an extra plus.,1,crouton also taste homemade extra plus,8
I got home to see the driest damn wings ever!,0,got home see driest damn wing ever,10
It'll be a regular stop on my trips to Phoenix!,1,itll regular stop trip phoenix,8
I really enjoyed Crema Café before they expanded; I even told friends they had the BEST breakfast.,1,really enjoyed crema café expanded even told friend best breakfast,3
Not good for the money.,0,good money,1
I miss it and wish they had one in Philadelphia!,1,miss wish one philadelphia,8
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0,got sitting fairly fast ended waiting minute place order another minute food arrived,6
They also have the best cheese crisp in town.,1,also best cheese crisp town,3
"Good value, great food, great service.",1,good value great food great service,1
Couldn't ask for a more satisfying meal.,1,couldnt ask satisfying meal,4
The food is good.,1,food good,1
It was awesome.,1,awesome,10
I just wanted to leave.,0,wanted leave,8
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,made drive way north scottsdale one bit disappointed,9
I will not be eating there again.,0,eating,9
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0,owner really really need quit soooooo cheap let wrap freaking sandwich two paper one,6
I checked out this place a couple years ago and was not impressed.,0,checked place couple year ago impressed,6
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0,chicken got definitely reheated ok wedge cold soggy,8
"Sorry, I will not be getting food from here anytime soon :(",0,sorry getting food anytime soon,6
An absolute must visit!,1,absolute must visit,3
The cow tongue and cheek tacos are amazing.,1,cow tongue cheek taco amazing,7
My friend did not like his Bloody Mary.,0,friend like bloody mary,9
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0,despite hard rate business actually rare give star,10
They really want to make your experience a good one.,1,really want make experience good one,1
I will not return.,0,return,5
I had the chicken Pho and it tasted very bland.,0,chicken pho tasted bland,6
Very disappointing!!!,0,disappointing,2
The grilled chicken was so tender and yellow from the saffron seasoning.,1,grilled chicken tender yellow saffron seasoning,10
"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0,drive thru mean want wait around half hour food somehow end going make u wait wait,6
Pretty awesome place.,1,pretty awesome place,4
Ambience is perfect.,1,ambience perfect,2
Best of luck to the rude and non-customer service focused new management.,0,best luck rude noncustomer service focused new management,3
Any grandmother can make a roasted chicken better than this one.,0,grandmother make roasted chicken better one,9
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,0,asked multiple time wine list time ignored went hostess got one,6
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1,staff always super friendly helpful especially cool bring two small boy baby,3
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1,four star food guy blue shirt great vibe still letting u eat,10
The roast beef sandwich tasted really good!,1,roast beef sandwich tasted really good,9
"Same evening, him and I are both drastically sick.",0,evening drastically sick,2
High-quality chicken on the chicken Caesar salad.,1,highquality chicken chicken caesar salad,2
Ordered burger rare came in we'll done.,0,ordered burger rare came well done,2
We were promptly greeted and seated.,1,promptly greeted seated,1
Tried to go here for lunch and it was a madhouse.,0,tried go lunch madhouse,7
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1,proven dead wrong sushi bar quality great service fast food impeccable,1
"After waiting an hour and being seated, I was not in the greatest of moods.",0,waiting hour seated greatest mood,4
This is a good joint.,1,good joint,1
The Macarons here are insanely good.,1,macarons insanely good,1
I'm not eating here!,0,im eating,8
"Our waiter was very attentive, friendly, and informative.",1,waiter attentive friendly informative,4
Maybe if they weren't cold they would have been somewhat edible.,0,maybe werent cold would somewhat edible,1
This place has a lot of promise but fails to deliver.,0,place lot promise fails deliver,8
Very bad Experience!,0,bad experience,10
What a mistake.,0,mistake,10
Food was average at best.,0,food average best,3
Great food.,1,great food,1
We won't be going back anytime soon!,0,wont going back anytime soon,1
Very Very Disappointed ordered the $35 Big Bay Plater.,0,disappointed ordered big bay plater,7
Great place to relax and have an awesome burger and beer.,1,great place relax awesome burger beer,5
It is PERFECT for a sit-down family meal or get together with a few friends.,1,perfect sitdown family meal get together friend,3
"Not much flavor to them, and very poorly constructed.",0,much flavor poorly constructed,2
The patio seating was very comfortable.,1,patio seating comfortable,9
The fried rice was dry as well.,0,fried rice dry well,4
Hands down my favorite Italian restaurant!,1,hand favorite italian restaurant,3
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",1,scream legit booksomethats also pretty rare vega,4
It was just not a fun experience.,1,fun experience,10
The atmosphere was great with a lovely duo of violinists playing songs we requested.,1,atmosphere great lovely duo violinist playing song requested,1
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1,personally love hummus pita baklava falafel baba ganoush amazing eggplant,2
"Very convenient, since we were staying at the MGM!",1,convenient since staying mgm,8
The owners are super friendly and the staff is courteous.,1,owner super friendly staff courteous,4
Both great!,1,great,10
Eclectic selection.,1,eclectic selection,5
The sweet potato tots were good but the onion rings were perfection or as close as I have had.,1,sweet potato tot good onion ring perfection close,6
The staff was very attentive.,1,staff attentive,4
And the chef was generous with his time (even came around twice so we can take pictures with him).,1,chef generous time even came around twice take picture,3
"The owner used to work at Nobu, so this place is really similar for half the price.",1,owner used work nobu place really similar half price,8
Google mediocre and I imagine Smashburger will pop up.,0,google mediocre imagine smashburger pop,6
dont go here.,0,dont go,7
I promise they won't disappoint.,1,promise wont disappoint,5
As a sushi lover avoid this place by all means.,0,sushi lover avoid place mean,6
What a great double cheeseburger!,1,great double cheeseburger,7
Awesome service and food.,1,awesome service food,10
A fantastic neighborhood gem !!!,1,fantastic neighborhood gem,10
I can't wait to go back.,1,cant wait go back,6
The plantains were the worst I've ever tasted.,0,plantain worst ive ever tasted,1
It's a great place and I highly recommend it.,1,great place highly recommend,4
Service was slow and not attentive.,0,service slow attentive,9
"I gave it 5 stars then, and I'm giving it 5 stars now.",1,gave star im giving star,8
Your staff spends more time talking to themselves than me.,0,staff spends time talking,9
Dessert: Panna Cotta was amazing.,1,dessert panna cotta amazing,8
"Very good food, great atmosphere.1",1,good food great atmosphere,1
Damn good steak.,1,damn good steak,10
Total brunch fail.,0,total brunch fail,7
"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",1,price reasonable flavor spot sauce home made slaw drenched mayo,1
"The decor is nice, and the piano music soundtrack is pleasant.",1,decor nice piano music soundtrack pleasant,5
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1,steak amazingrge fillet relleno best seafood plate ever,3
"Good food , good service .",1,good food good service,1
It was absolutely amazing.,1,absolutely amazing,5
"I probably won't be back, to be honest.",0,probably wont back honest,5
will definitely be back!,1,definitely back,2
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,1,sergeant pepper beef sandwich auju sauce excellent sandwich well,9
"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",1,hawaiian breeze mango magic pineapple delight smoothy ive tried far theyre good,9
Went for lunch - service was slow.,0,went lunch service slow,7
"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",0,much say place walked expected amazing quickly disappointed,10
I was mortified.,0,mortified,1
"Needless to say, we will never be back here again.",0,needless say never back,10
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0,anyways food definitely filling price pay expect,7
"The chips that came out were dripping with grease, and mostly not edible.",0,chip came dripping grease mostly edible,2
I wasn't really impressed with Strip Steak.,0,wasnt really impressed strip steak,2
Have been going since 2007 and every meal has been awesome!!,1,going since every meal awesome,5
Our server was very nice and attentive as were the other serving staff.,1,server nice attentive serving staff,4
The cashier was friendly and even brought the food out to me.,1,cashier friendly even brought food,1
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,0,work hospitality industry paradise valley refrained recommending cibo longer,10
The atmosphere here is fun.,1,atmosphere fun,10
Would not recommend to others.,0,would recommend others,2
"Service is quick and even ""to go"" orders are just like we like it!",1,service quick even go order like like,9
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",0,mean really get famous fish chip terrible,9
"That said, our mouths and bellies were still quite pleased.",1,said mouth belly still quite pleased,8
Not my thing.,0,thing,8
2 Thumbs Up!!,1,thumb,10
If you are reading this please don't go there.,0,reading please dont go,4
"I loved the grilled pizza, reminded me of legit Italian pizza.",1,loved grilled pizza reminded legit italian pizza,3
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,1,pro large seating area nice bar area great simple drink menu best brick oven pizza homemade dough,3
They have a really nice atmosphere.,1,really nice atmosphere,9
Tonight I had the Elk Filet special...and it sucked.,0,tonight elk filet specialand sucked,4
"After one bite, I was hooked.",1,one bite hooked,5
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,0,ordered old classic new dish going time sorely disappointed everything,8
"Cute, quaint, simple, honest.",1,cute quaint simple honest,5
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1,chicken deliciously seasoned perfect fry outside moist chicken inside,2
"The food was great as always, compliments to the chef.",1,food great always compliment chef,10
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,1,special thanks dylan recommendation order yummy tummy,4
Awesome selection of beer.,1,awesome selection beer,5
Great food and awesome service!,1,great food awesome service,10
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1,one nice thing added gratuity bill since party larger didnt expect tip,7
A FLY was in my apple juice.. A FLY!!!!!!!!,0,fly apple juice fly,9
The Han Nan Chicken was also very tasty.,1,han nan chicken also tasty,8
"As for the service, I thought it was good.",1,service thought good,1
"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",0,food barely lukewarm must sitting waiting server bring u,5
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,0,ryans bar definitely one edinburgh establishment wont revisiting,8
Nicest Chinese restaurant I've been in a while.,1,nicest chinese restaurant ive,6
"Overall, I like there food and the service.",1,overall like food service,7
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,1,also serve indian naan bread hummus spicy pine nut sauce world,8
"Probably never coming back, and wouldn't recommend it.",0,probably never coming back wouldnt recommend,5
"Friend's pasta -- also bad, he barely touched it.",0,friend pasta also bad barely touched,3
"Try them in the airport to experience some tasty food and speedy, friendly service.",1,try airport experience tasty food speedy friendly service,1
I love the decor with the Chinese calligraphy wall paper.,1,love decor chinese calligraphy wall paper,4
Never had anything to complain about here.,1,never anything complain,5
The restaurant is very clean and has a family restaurant feel to it.,1,restaurant clean family restaurant feel,6
It was way over fried.,0,way fried,9
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,0,im sure long stood long enough begin feel awkwardly place,8
"When I opened the sandwich, I was impressed, but not in a good way.",0,opened sandwich impressed good way,9
Will not be back!,0,back,1
There was a warm feeling with the service and I felt like their guest for a special treat.,1,warm feeling service felt like guest special treat,10
An extensive menu provides lots of options for breakfast.,1,extensive menu provides lot option breakfast,10
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1,always order vegetarian menu dinner wide array option choose,3
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0,watched price inflate portion get smaller management attitude grow rapidly,6
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,1,wonderful lil tapa ambience made feel warm fuzzy inside,2
"I got to enjoy the seafood salad, with a fabulous vinegrette.",1,got enjoy seafood salad fabulous vinegrette,2
